Text,Author,Tags
“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,Albert Einstein,"change, deep-thoughts, thinking, world"
“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,Albert Einstein,"inspirational, life, live, miracle, miracles"
“Try not to become a man of success. Rather become a man of value.”,Albert Einstein,"adulthood, success, value"
"“If you can't explain it to a six year old, you don't understand it yourself.”",Albert Einstein,"simplicity, understand"
"“If you want your children to be intelligent, read them fairy tales. If you want them to be more intelligent, read them more fairy tales.”",Albert Einstein,"children, fairy-tales"
“Logic will get you from A to Z; imagination will get you everywhere.”,Albert Einstein,imagination
“Any fool can know. The point is to understand.”,Albert Einstein,"knowledge, learning, understanding, wisdom"
"“Life is like riding a bicycle. To keep your balance, you must keep moving.”",Albert Einstein,"life, simile"
"“If I were not a physicist, I would probably be a musician. I often think in music. I live my daydreams in music. I see my life in terms of music.”",Albert Einstein,music
“Anyone who has never made a mistake has never tried anything new.”,Albert Einstein,mistakes
