Timestamp,Review
2025/02/10 7:40:54 pm GMT+8,"Im happy with uniten actually, even the people are W"
2025/02/10 7:41:00 pm GMT+8,"I’m having a pretty good time here, happy to meet all of the W people."
2025/02/10 7:41:19 pm GMT+8,a very neutral place in terms of everything
2025/02/10 7:46:40 pm GMT+8,"I would say Uniten it's  a good university  but there is some issue need to be improved such as transportation,wifi networks and other facilities  as well."
2025/02/10 7:46:43 pm GMT+8," UNITEN is well-regarded, particularly for its strong engineering, computer science, and business programs. It has a solid reputation in Malaysia, especially in energy-related fields. The negative part is the facilities such as the swimming pool are close since my first year till 3 year now and there are limited parking so it's make hard to find."
2025/02/10 7:50:23 pm GMT+8,Neutral - Because currently UNITEN has developed various new facilities for UNITEN students such as 24 hours emart... Personally for the negative side I would say that UNITEN needs to fix the broken toilet in the library and BM/BN buildings
2025/02/10 7:51:50 pm GMT+8,regret
2025/02/10 7:56:00 pm GMT+8,"In my opinion, UNITEN is not really a student-oriented university even though it is a private university. The facility is not in well-maintained condition and the flexibility of using the facilities is low. The number of students also low compared to other universities."
2025/02/10 7:57:43 pm GMT+8,"UNITEN today is the shadow of its former self. What attracted me to UNITEN in the first place is not there anymore, e.g; our very own faculty building. The student dedicated website is terrible. I can name thousands of thousands website that is infinitely better. The hostel room application is ridiculous. The only pros that I could ever think of is the location of the campus that is situated near to major cities."
2025/02/10 7:58:31 pm GMT+8,The great place and people that I will remember forever 
2025/02/10 7:59:18 pm GMT+8,UNITEN is an interesting university because it's Tenaga university or the national energy university
2025/02/10 7:59:26 pm GMT+8,Good enviroment and facilities
2025/02/10 7:59:28 pm GMT+8,"For me, Uniten just a neutral for me because there is some positive and negative aspect for it. For example, positive side of it, is about supportive and easy going lecturer. Meanwhile negative side is about wifi connection is slow in certain areas."
2025/02/10 7:59:37 pm GMT+8,Honestly uniten I feel like uniten is not the best neither the worst. I just feel like there are many more things to improve throughout the campus
2025/02/10 8:00:24 pm GMT+8,"UNITEN is a solid choice for students interested in engineering, IT, or energy-related fields, offering strong industry connections and modern facilities. However, its specialized focus and location may not suit everyone. If you’re looking for a university with a strong technical emphasis and ties to the energy sector, UNITEN could be a great fit. If you prefer a more diverse academic environment or a bustling social scene, you might want to explore other options."
2025/02/10 8:00:44 pm GMT+8,Bad in managemn
2025/02/10 8:00:47 pm GMT+8,I have faced a lot of problems while being in UNITEN such as internet connectivity and facilities is not in a good condition (air conditioning sometimes not working) .
2025/02/10 8:02:06 pm GMT+8,"Uniten has great facilities, always give freedom for students to choose but some of the facilities upgrade is progressing very slow. The miscellaneous fee is still undefined. I think student should know what are they paying for."
2025/02/10 8:02:18 pm GMT+8,"Uniten is unnecessarily expensive for the service it's offering. It is practically 10 times the price of a normal public university with barely any additional service. Most service center is broken, some road light doesn't even lit up and certain buildings are either close or straight up close off making the layout of the campus make less and less sense throughout the year. The service quality also isn't much better than the local ones therefore making the price tags makes less sense. The management side also isn't a huge downside. Schedule are a mess, events handled in exchange of student comfort and the report system keep making us report the same thing over and over again instead of putting on a timer or weight to solve the solution. Overall, 10/10, will never do this again."
2025/02/10 8:02:38 pm GMT+8,"FIrst of all, UNITEN Strong point is the lecturer there are so many great lecturers here that have such precious knowledge they are willing to share. The course selection is abundance and align with modern world. Then, their proximity to bunch of food is very convenient. That what I could deem positive part about it. For neutral part of it, is their facilities, there are some good like the classes especially the new renovated class at BM, then we found poor class such as BV Theatre, then we have Library which is such a good benchmark for other theatre. The road is serviceable. Then for bad part is their management, slow, frustrating and could be very annoying. The event are subpar at best, the SRC is barely noticeable. In general, bunch of Uniten features, they are towards the right direction but lacking at execution. "
2025/02/10 8:02:44 pm GMT+8,"in my opinion UNITEN offers great opportunities in terms of exploring ourselves in preparing our future. but, there are many ways UNITEN makes the student life a ""hassle"". First for the longest times, the walkway for students and the bike road are damaged and filled with holes which will cause accidents and other issues. another is the issue with the admins in UNITEN UCC. although there are many whom help with the issue. Many are created with neglect of the Ucc staff. "
2025/02/10 8:03:01 pm GMT+8,"As a UNITEN student, I’ve had a great experience so far. Lecturers are knowledgeable and approachable, always willing to help when needed. The campus facilities are well-maintained, including the labs, libraries, and study areas, which make learning more convenient. The academic workload is challenging but manageable, and the curriculum is industry-relevant, preparing us well for future careers. There are also many clubs and activities to join, making campus life more enjoyable. Overall, UNITEN provides a balanced university experience with quality education and a supportive environment."
2025/02/10 8:03:09 pm GMT+8,"Bad in management. Every sem had a problem about timetable and subject registration. Price per subject very expensive even not related to our programme. Dont have a lot of parking especially at the library. Timetable very very stressful, have class at night "
2025/02/10 8:03:11 pm GMT+8,"UNITEN has great academic potential, but there are several areas that need improvement, particularly in its facilities and management. Many classrooms and lecture halls have outdated equipment, including malfunctioning air conditioning and inadequate seating, making it uncomfortable for students. The library, while resourceful, requires better maintenance, more study spaces, and a stronger Wi-Fi connection. Additionally, sports and recreational facilities need urgent upgrades, as the gym lacks proper equipment and some sports courts are not well-maintained, discouraging student participation in extracurricular activities.

The university’s management and administrative processes also require improvement. Response times from offices such as finance and student affairs are often slow, leading to delays in resolving student concerns regarding fees and scholarships. Course registration is another major issue, with frequent system crashes and unclear guidelines creating unnecessary stress. Moreover, communication between the university and students needs enhancement, as important updates about policy changes, events, and academic matters are not always effectively conveyed. Addressing these issues will significantly enhance the student experience and ensure UNITEN remains a top choice for higher education.
"
2025/02/10 8:03:32 pm GMT+8,The managment system is the worst. The student could not get any time or study week before the finals and we could not get a longor period of time to settle down our pro forma invoice. 
2025/02/10 8:03:39 pm GMT+8,they insist u to pay the pro forma urgently. maybe try to be considerate to people who comes from not so wealthy family. 
2025/02/10 8:03:57 pm GMT+8,Good education but for accommodation & facilities not so much
2025/02/10 8:04:37 pm GMT+8,"In my honest opinjon, its neutral. Uniten got its good and bad side in it. Good things are the lecturers, environment, and education here are positive and non-toxic. Its quite peaceful here. The bad side are more on how the projection of the student's future and well-being. I've seen that the staff's and how uniten goes is not student-oriented. The courses are kinda old for certain subjects and not industry based. We also lack of business and entrepreneur funding for startups. We dont have the innovation, research, and startups environment here. If the environments are more competitive, and the uniten itself promotes the innovation and research culture, we could produce better future oriented students. Exposure is a guaranteed for them. But I believe jt requires both efforts from students and the uniten also. We good"
2025/02/10 8:04:44 pm GMT+8,Uniten is great
2025/02/10 8:04:56 pm GMT+8,"honestly, night class is such a huge hassle and big disadvantages to students. Nighttime is the time where all to most students are occupied with studying, assignments or even resting since in the daytime, most of the students wouldnt be able to do so because of classes. I think nighttime classes should not exist."
2025/02/10 8:05:09 pm GMT+8,"For residency, uniten need to create more space for parking and create designated area for student parking and it will be nice if theres a roof for parking, every event that held at dss, all the parking near dss will be closed, where should we park our car. And please makesure cendi allow us to apply access and not just depend on scorun but first come first serve. And please devide the student to who ever drive cars stay at amanah and those who dont stay at cendi. Thankyou very much and please do something about the carpark"
2025/02/10 8:06:01 pm GMT+8,"great facilities, great residency. eventhough the management still have room for improvement."
2025/02/10 8:06:08 pm GMT+8,"In my opinion, UNITEN is okay as it is. However, it would be great if UNITEN implement the ‘Rumah Sukan Sistem’ . This initiative will further strengthen the bonds between UNITEN students and staffs."
2025/02/10 8:06:09 pm GMT+8,"Naah, this university is a joke"
2025/02/10 8:06:43 pm GMT+8,"good facility, friendly community, itms, sir lim kok cheng, coway, kelas malam, wifi"
2025/02/10 8:07:18 pm GMT+8,UNITEN is among the best universities that provide IT programmes
2025/02/10 8:07:40 pm GMT+8,"Don't go to UNITEN, go elsewhere"
2025/02/10 8:07:41 pm GMT+8,"Well when I first arrived at uniten I thought ""Ouh this is an energy university maybe the electric won't be an issue""
*proceeds to pay every single month for utilities*"
2025/02/10 8:08:26 pm GMT+8,"It's a good university, but I don't trust its management"
